i	$V_i \ \  (y_i)$	$I_i \ \ (x_i)$	$V_i \cdot I_i \ \ (x_iy_i)$	$I_i^2 \ \ (x_i)^2$	$V_i 2 \ \ (y_i)^2$
1	1,0	7,50E-06	7,50E-06	5,63E-11	1,0
2	2,0	1,47E-05	2,94E-05	2,16E-10	4,0
3	3,0	2,17E-05	6,51E-05	4,71E-10	9,0
4	4,0	2,89E-05	1,16E-04	8,35E-10	16,0
5	5,0	3,59E-05	1,80E-04	1,29E-09	25,0
6	6,0	4,32E-05	2,59E-04	1,87E-09	36,0
7	7,0	5,05E-05	3,54E-04	2,55E-09	49,0
8	8,0	5,75E-05	4,60E-04	3,31E-09	64,0
9	9,0	6,45E-05	5,81E-04	4,16E-09	81,0
10	10,0	7,20E-05	7,20E-04	5,18E-09	100,0
Sumatorio:	55,0	3,96E-04	2,77E-03	1,99E-08	3025,0
					
B	139802,85	A	-0,041784966		
					
i	$y_i -a -bx_i$	$(y_i -a -bx_i)^2$			
1	-0,0067	0,000045			
2	-0,0133	0,000177			
3	0,0081	0,000065			
4	0,0015	0,000002			
5	0,0229	0,000523			
6	0,0023	0,000005			
7	-0,0183	0,000333			
8	0,0031	0,000010			
9	0,0245	0,000600			
10	-0,0240	0,000577			
Sumatorio:	-46,6E-15	0,002338			