$d  \pm 0,3 \ \ (cm)$	$t \pm 0,01 \ \ (ms)$	$2d  \pm 0,6 \ \ (m)$	$t^2  \ \ (s)$	$s(t^2) \ \ (s)$
56,5	345,07	1,13	0,1190733	0,0000024
52,5	339,00	1,05	0,1149210	0,0000023
48,7	319,13	0,974	0,1018440	0,0000020
44,9	313,80	0,898	0,0984704	0,0000020
40,8	299,57	0,816	0,0897422	0,0000018
38,7	286,65	0,774	0,0821682	0,0000016
33,7	266,81	0,674	0,0711876	0,0000014
30,7	256,13	0,614	0,0656026	0,0000013
26,5	239,93	0,53	0,0575664	0,0000012
22,5	213,32	0,45	0,04550542	0,00000091
				
$g \ (m/s^2)$	$s(g) \ (m/s^2)$	r		
9,335	0,067	0,99953		
				
9,334759138	0			
0,0674725881	#N/A			
0,9995300119	0,0187247297			
19140,42139	9			
6,71092846	0,003155539521			