Tiempo,Valor,Diferencia,Archivo
250,1896,5,
251,1901,12,
252,1913,6,
253,1919,6,
254,1925,13,
255,1938,8,
256,1946,11,
257,1957,7,
258,1964,8,
259,1972,7,
260,1979,7,
261,1986,3,
262,1989,5,
263,1994,12,
264,2006,5,
265,2011,17,
266,2028,10,
267,2038,5,
268,2043,7,
269,2050,8,
270,2058,5,
271,2063,8,
272,2071,2,
273,2073,14,
274,2087,5,
275,2092,8,
276,2100,9,
277,2109,10,
278,2119,9,
279,2128,6,
280,2134,14,
281,2148,10,
282,2158,11,
283,2169,10,
284,2179,10,
285,2189,6,
286,2195,12,
287,2207,5,
288,2212,9,
289,2221,6,
290,2227,9,
291,2236,5,
292,2241,6,
293,2247,12,
294,2259,5,
295,2264,8,
296,2272,8,
297,2280,5,
298,2285,7,
299,2292,7,
300,2299,6,
301,2305,5,
302,2310,9,
303,2319,5,
304,2324,4,
305,2328,1,
306,2329,7,
307,2336,5,
308,2341,7,
309,2348,10,
310,2358,7,
311,2365,7,
312,2372,8,
313,2380,7,
314,2387,12,
315,2399,1,
316,2400,11,
317,2411,8,
318,2419,9,
319,2428,4,
320,2432,4,
321,2436,12,
322,2448,9,
323,2457,3,
324,2460,8,
325,2468,11,
326,2479,6,
327,2485,7,
328,2492,9,
329,2501,5,
330,2506,6,
331,2512,10,
332,2522,7,
333,2529,6,
334,2535,5,
335,2540,6,
336,2546,7,
337,2553,5,
338,2558,11,
339,2569,9,
340,2578,8,
341,2586,7,
342,2593,4,
343,2597,4,
344,2601,4,
345,2605,7,
346,2612,6,
347,2618,6,
348,2624,10,
349,2634,4,
350,2638,7,
351,2645,7,
352,2652,8,
353,2660,7,
354,2667,11,
355,2678,10,
356,2688,10,
357,2698,8,
358,2706,10,
359,2716,10,
360,2726,5,
361,2731,6,
362,2737,8,
363,2745,16,
364,2761,5,
365,2766,11,
366,2777,14,
367,2791,2,
368,2793,5,
369,2798,6,
370,2804,7,
371,2811,10,
372,2821,11,
373,2832,11,
374,2843,7,
375,2850,7,
376,2857,9,
377,2866,8,
378,2874,11,
379,2885,5,
380,2890,3,
381,2893,6,
382,2899,9,
383,2908,10,
384,2918,7,
385,2925,9,
386,2934,5,
387,2939,7,
388,2946,7,
389,2953,12,
390,2965,9,
391,2974,11,
392,2985,7,
393,2992,4,
394,2996,6,
395,3002,5,
396,3007,11,
397,3018,8,
398,3026,4,
399,3030,7,
400,3037,9,
401,3046,9,
402,3055,5,
403,3060,9,
404,3069,11,
405,3080,-994,
406,2086,1006,
407,3092,14,
408,3106,11,
409,3117,10,
410,3127,6,
411,3133,9,
412,3142,11,
413,3153,5,
414,3158,10,
415,3168,7,
416,3175,5,
417,3180,10,
418,3190,7,
419,3197,13,
420,3210,4,
421,3214,5,
422,3219,7,
423,3226,7,
424,3233,7,
425,3240,7,
426,3247,7,
427,3254,5,
428,3259,8,
429,3267,7,
430,3274,8,
431,3282,13,
432,3295,7,
433,3302,4,
434,3306,6,
435,3312,5,
436,3317,6,
437,3323,6,
438,3329,10,
439,3339,5,
440,3344,5,
441,3349,9,
442,3358,10,
443,3368,7,
444,3375,8,
445,3383,6,
446,3389,15,
447,3404,7,
448,3411,5,
449,3416,4,
450,3420,8,
451,3428,5,
452,3433,11,
453,3444,10,
454,3454,9,
455,3463,4,
456,3467,7,
457,3474,3,
458,3477,5,
459,3482,6,
460,3488,5,
461,3493,5,
462,3498,10,
463,3508,9,
464,3517,6,
465,3523,7,
466,3530,6,
467,3536,7,
468,3543,16,
469,3559,6,
470,3565,8,
471,3573,8,
472,3581,3,
473,3584,8,
474,3592,7,
475,3599,9,
476,3608,7,
477,3615,6,
478,3621,10,
479,3631,3,
480,3634,5,
481,3639,13,
482,3652,10,
483,3662,6,
484,3668,3,
485,3671,9,
486,3680,11,
487,3691,7,
488,3698,4,
489,3702,11,
490,3713,9,
491,3722,8,
492,3730,9,
493,3739,5,
494,3744,7,
495,3751,6,
496,3757,9,
497,3766,9,
498,3775,7,
499,3782,8,
500,3790,10,
501,3800,7,
502,3807,7,
503,3814,8,
504,3822,10,
505,3832,5,
506,3837,7,
507,3844,8,
508,3852,10,
509,3862,9,
510,3871,7,
511,3878,21,
512,3899,2,
513,3901,7,
514,3908,7,
515,3915,5,
516,3920,4,
517,3924,6,
518,3930,9,
519,3939,3,
520,3942,8,
521,3950,12,
522,3962,11,
523,3973,5,
524,3978,6,
525,3984,8,
526,3992,11,
527,4003,6,
528,4009,3,
529,4012,7,
530,4019,7,
531,4026,6,
532,4032,4,
533,4036,8,
534,4044,7,
535,4051,1,
536,4052,5,
537,4057,7,
538,4064,5,
539,4069,6,
540,4075,5,
541,4080,3,
542,4083,6,
543,4089,6,
544,4095,5,
545,4100,7,
546,4107,12,
547,4119,3,
548,4122,6,
549,4128,13,
550,4141,7,
551,4148,10,
552,4158,13,
553,4171,7,
554,4178,10,
555,4188,11,
556,4199,6,
557,4205,2,
558,4207,9,
559,4216,8,
560,4224,10,
561,4234,8,
562,4242,7,
563,4249,9,
564,4258,8,
565,4266,5,
566,4271,2,
567,4273,11,
568,4284,6,
569,4290,10,
570,4300,8,
571,4308,8,
572,4316,9,
573,4325,8,
574,4333,11,
575,4344,5,
576,4349,10,
577,4359,4,
578,4363,6,
579,4369,11,
580,4380,11,
581,4391,8,
582,4399,7,
583,4406,7,
584,4413,8,
585,4421,5,
586,4426,10,
587,4436,5,
588,4441,11,
589,4452,8,
590,4460,8,
591,4468,9,
592,4477,7,
593,4484,8,
594,4492,10,
595,4502,10,
596,4512,7,
597,4519,7,
598,4526,7,
599,4533,10,
600,4543,5,
601,4548,4,
602,4552,4,
603,4556,9,
604,4565,8,
605,4573,13,
606,4586,7,
607,4593,4,
608,4597,6,
609,4603,6,
610,4609,12,
611,4621,9,
612,4630,5,
613,4635,14,
614,4649,10,
615,4659,5,
616,4664,10,
617,4674,6,
618,4680,4,
619,4684,4,
620,4688,6,
621,4694,8,
622,4702,6,
623,4708,11,
624,4719,10,
625,4729,4,
626,4733,6,
627,4739,13,
628,4752,7,
629,4759,19,
630,4778,7,
631,4785,8,
632,4793,7,
633,4800,12,
634,4812,9,
635,4821,3,
636,4824,6,
637,4830,5,
638,4835,9,
639,4844,11,
640,4855,14,
641,4869,7,
642,4876,8,
643,4884,3,
644,4887,6,
645,4893,8,
646,4901,8,
647,4909,10,
648,4919,5,
649,4924,4,
650,4928,11,
651,4939,5,
652,4944,7,
653,4951,5,
654,4956,6,
655,4962,2,
656,4964,7,
657,4971,11,
658,4982,16,
659,4998,9,
660,5007,9,
661,5016,10,
662,5026,8,
663,5034,8,
664,5042,3,
665,5045,10,
666,5055,4,
667,5059,10,
668,5069,4,
669,5073,5,
670,5078,10,
671,5088,9,
672,5097,7,
673,5104,6,
674,5110,6,
675,5116,8,
676,5124,9,
677,5133,10,
678,5143,13,
679,5156,4,
680,5160,8,
681,5168,8,
682,5176,7,
683,5183,8,
684,5191,5,
685,5196,7,
686,5203,3,
687,5206,9,
688,5215,7,
689,5222,11,
690,5233,10,
691,5243,7,
692,5250,6,
693,5256,7,
694,5263,7,
695,5270,5,
696,5275,7,
697,5282,5,
698,5287,6,
699,5293,5,
700,5298,10,
701,5308,7,
702,5315,7,
703,5322,6,
704,5328,8,
705,5336,6,
706,5342,57,
707,5399,-43,
708,5356,11,
709,5367,2,
710,5369,9,
711,5378,7,
712,5385,7,
713,5392,9,
714,5401,7,
715,5408,9,
716,5417,6,
717,5423,6,
718,5429,7,
719,5436,10,
720,5446,7,
721,5453,9,
722,5462,6,
723,5468,5,
724,5473,15,
725,5488,-486,
726,5002,509,
727,5511,7,
728,5518,10,
729,5528,14,
730,5542,6,
731,5548,7,
732,5555,10,
733,5565,7,
734,5572,4,
735,5576,7,
736,5583,5,
737,5588,8,
738,5596,8,
739,5604,-85,
740,5519,109,
741,5628,11,
742,5639,10,
743,5649,2,
744,5651,9,
745,5660,9,
746,5669,8,
747,5677,15,
748,5692,8,
749,5700,7,
750,5707,7,
751,5714,10,
752,5724,10,
753,5734,7,
754,5741,7,
755,5748,6,
756,5754,4,
757,5758,10,
758,5768,12,
759,5780,10,
760,5790,7,
761,5797,2,
762,5799,9,
763,5808,8,
764,5816,11,
765,5827,6,
766,5833,6,
767,5839,7,
768,5846,7,
769,5853,7,
770,5860,10,
771,5870,7,
772,5877,7,
773,5884,7,
774,5891,8,
775,5899,8,
776,5907,12,
777,5919,8,
778,5927,9,
779,5936,10,
780,5946,7,
781,5953,7,
782,5960,6,
783,5966,9,
784,5975,7,
785,5982,10,
786,5992,6,
787,5998,6,
788,6004,7,
789,6011,12,
790,6023,9,
791,6032,5,
792,6037,11,
793,6048,12,
794,6060,6,
795,6066,10,
796,6076,12,
797,6088,1,
798,6089,7,
799,6096,9,
800,6105,6,
801,6111,7,
802,6118,7,
803,6125,11,
804,6136,9,
805,6145,8,
806,6153,10,
807,6163,3,
808,6166,11,
809,6177,7,
810,6184,2,
811,6186,5,
812,6191,11,
813,6202,5,
814,6207,4,
815,6211,8,
816,6219,4,
817,6223,7,
818,6230,9,
819,6239,8,
820,6247,13,
821,6260,9,
822,6269,8,
823,6277,7,
824,6284,6,
825,6290,5,
826,6295,9,
827,6304,5,
828,6309,11,
829,6320,3,
830,6323,9,
831,6332,7,
832,6339,10,
833,6349,8,
834,6357,9,
835,6366,4,
836,6370,5,
837,6375,8,
838,6383,1,
839,6384,10,
840,6394,9,
841,6403,11,
842,6414,9,
843,6423,2,
844,6425,5,
845,6430,8,
846,6438,6,
847,6444,5,
848,6449,6,
849,6455,8,
850,6463,9,
851,6472,11,
852,6483,9,
853,6492,8,
854,6500,8,
855,6508,11,
856,6519,4,
857,6523,8,
858,6531,5,
859,6536,6,
860,6542,10,
861,6552,11,
862,6563,15,
863,6578,10,
864,6588,12,
865,6600,8,
866,6608,7,
867,6615,5,
868,6620,7,
869,6627,4,
870,6631,3,
871,6634,8,
872,6642,16,
873,6658,9,
874,6667,13,
875,6680,7,
876,6687,5,
877,6692,6,
878,6698,11,
879,6709,8,
880,6717,10,
881,6727,6,
882,6733,6,
883,6739,5,
884,6744,6,
885,6750,6,
886,6756,8,
887,6764,6,
888,6770,2,
889,6772,5,
890,6777,3,
891,6780,13,
892,6793,11,
893,6804,9,
894,6813,5,
895,6818,6,
896,6824,7,
897,6831,7,
898,6838,7,
899,6845,8,
900,6853,15,
901,6868,5,
902,6873,3,
903,6876,5,
904,6881,9,
905,6890,9,
906,6899,11,
907,6910,5,
908,6915,8,
909,6923,5,
910,6928,13,
911,6941,9,
912,6950,8,
913,6958,4,
914,6962,7,
915,6969,9,
916,6978,7,
917,6985,6,
918,6991,9,
919,7000,8,
920,7008,9,
921,7017,6,
922,7023,15,
923,7038,10,
924,7048,10,
925,7058,6,
926,7064,7,
927,7071,8,
928,7079,6,
929,7085,7,
930,7092,9,
931,7101,5,
932,7106,7,
933,7113,5,
934,7118,12,
935,7130,8,
936,7138,10,
937,7148,11,
938,7159,0,
939,7159,5,
940,7164,12,
941,7176,10,
942,7186,11,
943,7197,7,
944,7204,6,
945,7210,5,
946,7215,14,
947,7229,7,
948,7236,7,
949,7243,8,
950,7251,10,
951,7261,8,
952,7269,7,
953,7276,8,
954,7284,11,
955,7295,14,
956,7309,3,
957,7312,6,
958,7318,11,
959,7329,4,
960,7333,4,
961,7337,12,
962,7349,11,
963,7360,5,
964,7365,8,
965,7373,11,
966,7384,8,
967,7392,11,
968,7403,9,
969,7412,6,
970,7418,12,
971,7430,4,
972,7434,11,
973,7445,6,
974,7451,6,
975,7457,12,
976,7469,3,
977,7472,10,
978,7482,8,
979,7490,8,
980,7498,9,
981,7507,7,
982,7514,4,
983,7518,5,
984,7523,5,
985,7528,9,
986,7537,6,
987,7543,14,
988,7557,5,
989,7562,6,
990,7568,11,
991,7579,16,
992,7595,3,
993,7598,5,
994,7603,3,
995,7606,9,
996,7615,10,
997,7625,8,
998,7633,4,
999,7637,3,
1000,7640,6,
1001,7646,9,
1002,7655,7,
1003,7662,6,
1004,7668,10,
1005,7678,10,
1006,7688,9,
1007,7697,7,
1008,7704,3,
1009,7707,4,
1010,7711,9,
1011,7720,8,
1012,7728,4,
1013,7732,3,
1014,7735,7,
1015,7742,9,
1016,7751,8,
1017,7759,6,
1018,7765,4,
1019,7769,7,
1020,7776,4,
1021,7780,6,
1022,7786,10,
1023,7796,5,
1024,7801,5,
1025,7806,6,
1026,7812,10,
1027,7822,11,
1028,7833,9,
1029,7842,5,
1030,7847,7,
1031,7854,8,
1032,7862,10,
1033,7872,9,
1034,7881,9,
1035,7890,7,
1036,7897,4,
1037,7901,9,
1038,7910,3,
1039,7913,14,
1040,7927,11,
1041,7938,10,
1042,7948,9,
1043,7957,8,
1044,7965,7,
1045,7972,12,
1046,7984,6,
1047,7990,3,
1048,7993,14,
1049,8007,9,
1050,8016,3,
1051,8019,10,
1052,8029,8,
1053,8037,6,
1054,8043,7,
1055,8050,10,
1056,8060,9,
1057,8069,12,
1058,8081,6,
1059,8087,3,
1060,8090,13,
1061,8103,6,
1062,8109,10,
1063,8119,5,
1064,8124,8,
1065,8132,7,
1066,8139,10,
1067,8149,3,
1068,8152,16,
1069,8168,9,
1070,8177,3,
1071,8180,13,
1072,8193,6,
1073,8199,4,
1074,8203,4,
1075,8207,8,
1076,8215,4,
1077,8219,7,
1078,8226,10,
1079,8236,6,
1080,8242,3,
1081,8245,6,
1082,8251,13,
1083,8264,4,
1084,8268,8,
1085,8276,12,
1086,8288,7,
1087,8295,4,
1088,8299,7,
1089,8306,10,
1090,8316,8,
1091,8324,5,
1092,8329,3,
1093,8332,14,
1094,8346,13,
1095,8359,2,
1096,8361,3,
1097,8364,12,
1098,8376,6,
1099,8382,6,
1100,8388,9,
1101,8397,6,
1102,8403,10,
1103,8413,13,
1104,8426,5,
1105,8431,9,
1106,8440,5,
1107,8445,7,
1108,8452,9,
1109,8461,7,
1110,8468,5,
1111,8473,10,
1112,8483,11,
1113,8494,6,
1114,8500,6,
1115,8506,6,
1116,8512,12,
1117,8524,4,
1118,8528,5,
1119,8533,15,
1120,8548,5,
1121,8553,7,
1122,8560,6,
1123,8566,,
